size,beta
49.99999999999999,0.010446032062234272
50.91316761748828,0.010238186815025748
51.84301273692915,0.010034477075589916
52.78983994541708,0.009834820559511966
53.753959392827966,0.009639136619594396
54.735686893414154,0.009447346213281232
55.73534402925503,0.009259371870730344
56.75325825559673,0.009075137663521145
57.78976300811594,0.008894569173984793
58.845197812142615,0.008717593465144705
59.919908393877435,0.008544139051255142
61.0142467936405,0.008374135868925993
62.128571481188324,0.008207515248822093
63.26324747313687,0.008044209887925632
64.41864645252919,0.007884153822350474
65.59514689058672,0.007727282400697382
66.79313417068414,0.007573532257939395
68.01300071458851,0.007422841289826812
69.25514611100392,0.007275148627801447
70.51997724646368,0.0071303946144099985
71.80790843861331,0.0069885207792066435
73.11936157192743,0.006849469815135082
74.45476623590545,0.006713185555380513
75.81455986579124,0.0065796129506821965
77.19918788586259,0.006448698047097413
78.60910385533785,0.006320387964207871
80.04476961694722,0.00619463087375973
81.50665544821734,0.006071375978728633
82.99524021551909,0.005950573492801279
84.51101153092856,0.005832174620265246
86.05446591195302,0.0057161315362989655
87.62610894417392,0.0056023973676538425
89.22645544686031,0.0054909261737207705
90.856029641607,0.005381672927973346
92.51536532405242,0.0052745934997803215
94.20500603873289,0.005169644636579931
95.92550525713007,0.005066783946408896
97.67742655897034,0.004965969880779051
99.46134381683518,0.0048671617178946795
101.27784138414323,0.004770319546203765
103.12751428656543,0.004675404248276537
105.01096841693656,0.004582377485004759
106.9288207337251,0.004491201680115468
108.88169946313015,0.0044018400049927395
110.87024430486649,0.0043142563638015816
112.89510664171097,0.004228415378907693
114.95694975287282,0.004144282376587443
117.05644903126384,0.004061823373022072
119.1942922047342,0.003981005060570658
121.37117956135019,0.0039017947943161507
123.58782417878581,0.0038241605788791244
125.84495215790388,0.0037480710554938955
128.1433028606031,0.003673495489341782
130.483629152009,0.0036004037571364016
132.8666976470883,0.003528766334955978
135.29328896176688,0.0034585542863177533
137.76419796863428,0.0033897392504896834
140.28023405731832,0.0033222934310346954
142.84222139961474,0.003256189584582881
145.45099921945913,0.0031914010098270896
148.10742206782962,0.0031279015367374798
150.81236010266986,0.0030656655159906625
153.56669937392465,0.003004667808609182
156.3713421137812,0.0029448837758071326
159.22720703221094,0.002886289269037823
162.1352296179093,0.0028288606202394612
165.09636244473134,0.00277257463227492
168.1115754837241,0.0027174085695617243
171.18185642085757,0.002663340148888476
174.3082109805587,0.0026103475304140008
177.49166325515395,0.0025584093088455886
180.73325604032877,0.0025075045047927595
184.03405117671372,0.002457612556293066
187.39512989770887,0.002408713310506503
190.81759318366082,0.002360787015575181
194.30256212250828,0.0023138143126449594
197.8511782770139,0.002267776228045834
201.46460405870332,0.0022226541656279086
205.14402310863343,0.00217842989924985
208.89064068511487,0.002135085565416819
212.70568405851543,0.0020926036560648675
216.59040291327386,0.0020509670114889156
220.5460697572569,0.002010158813411426
224.57398033858948,0.001970162578189024
228.6754540701027,0.0019309621501542363
232.85183446152743,0.0018925416950897652
237.10448955958785,0.0018548856938325512
241.43481239612572,0.0018179789360051484
245.84422144441598,0.0017818065138717743
250.33416108380894,0.0017463538163166594
254.90610207286576,0.001711606522942158
259.56154203112766,0.001677550598284338
264.3020059296906,0.0016441722861436185
269.12904659073445,0.0016114581040282485
274.04424519617754,0.0015793948377083196
279.0492118056209,0.0015479695358781489
284.1455858837514,0.0015171695049248602
289.33503683737695,0.001486982303801059
294.61926456227036,0.0014573957389995213
299.99999999999994,0.0014283978596278761
